StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent_Q,Prolific_ID,con_b_personal,con_b_pers_elab,con_b_govern,con_b_govern_elab,con_b_matrix_1,con_b_matrix_2,con_b_matrix_3,partDemo.age,partDemo.gender,partDemo.gender_7_TEXT,partDemo.ethnicity,partDemo.ethnicity_7_TEXT,partDemo.education,con_a_personal,con_a_pers_elab,con_a_gov,con_a_gov_elab,con_a_matrix_1,con_a_matrix_2,con_a_matrix_3,2_Principle Q1_1,2_Principle Q1_2,2_Principle Q2_1,2_Principle Q2_2,2_Principle Q2_3,2_Principle Q2_4,2_Principle Q2_5,2_Principle Q2_6,2_Principle Q2_7,3_Principle Q1_1,3_Principle Q1_2,3_Principle Q2_1,3_Principle Q2_2,3_Principle Q2_3,3_Principle Q2_4,3_Principle Q2_5,3_Principle Q2_6,3_Principle Q2_7,4_Principle Q1_1,4_Principle Q1_2,4_Principle Q2_1,4_Principle Q2_2,4_Principle Q2_3,4_Principle Q2_4,4_Principle Q2_5,4_Principle Q2_6,4_Principle Q2_7,5_Principle Q1_1,5_Principle Q1_2,5_Principle Q2_1,5_Principle Q2_2,5_Principle Q2_3,5_Principle Q2_4,5_Principle Q2_5,5_Principle Q2_6,5_Principle Q2_7,6_Principle Q1_1,6_Principle Q1_2,6_Principle Q2_1,6_Principle Q2_2,6_Principle Q2_3,6_Principle Q2_4,6_Principle Q2_5,6_Principle Q2_6,6_Principle Q2_7,7_Principle Q1_1,7_Principle Q1_2,7_Principle Q2_1,7_Principle Q2_2,7_Principle Q2_3,7_Principle Q2_4,7_Principle Q2_5,7_Principle Q2_6,7_Principle Q2_7,attention_check_1_1,attention_check_1_2,attention_check_2_1,attention_check_2_2,attention_check_2_3,attention_check_2_4,attention_check_2_5,attention_check_2_6,attention_check_2_7,PROLIFIC_PID,Version,Const_Order,Create New Field or Choose From Dropdown...,RESP_P1,RESP_P2,RESP_P3,RESP_P4,RESP_P5,RESP_P6,RESP_P7,RESP_P8,RESP_P9,RESP_P10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Consent,"What is your Prolific ID?

Please note that this response should auto-fill with the correct ID","When considering my personal preferences toward conversational AI, I prefer...","In 1-2 sentences, please elaborate on your preference. What factors, if any, informed your decision?","When considering governing AI behavior for the U.S. population, I prefer...","In 1-2 sentences, please elaborate on your preference. What factors, if any, informed your decision?",Please evaluate which constitution better exhibits the following characteristics. - Moral Grounding: The extent to which the principle is informed by ethical rigor.,"Please evaluate which constitution better exhibits the following characteristics. - Consensus: The constitution could be reasonably accepted by a pluralistic community, even if not endorsed unanimously by each individual.",Please evaluate which constitution better exhibits the following characteristics. - Coherence: Individual principles within the constitution can exist simultaneously without contradictions.,What is your age?,How do you best describe yourself? - Selected Choice,How do you best describe yourself? - Prefer to self-describe - Text,How do you describe your ethnicity? (Check as many as apply) - Selected Choice,How do you describe your ethnicity? (Check as many as apply) - Other (please specify) - Text,What is the highest degree you have earned?,"When considering my personal preferences toward conversational AI, I prefer...","In 1-2 sentences, please elaborate on your preference. What factors, if any, informed your decision?","When considering governing AI behavior for the U.S. population, I prefer...","In 1-2 sentences, please elaborate on your preference. What factors, if any, informed your decision?",Please evaluate which constitution better exhibits the following characteristics. - Moral Grounding: The extent to which the principle is informed by ethical rigor.,"Please evaluate which constitution better exhibits the following characteristics. - Consensus: The constitution could be reasonably accepted by a pluralistic community, even if not endorsed unanimously by each individual.",Please evaluate which constitution better exhibits the following characteristics. - Coherence: Individual principles within the constitution can exist simultaneously without contradictions.,1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q1} - I personally agree with this principle.,1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q1} - I believe this principle would be appropriate for governing AI behavior,"2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q1} - Moral Grounding

The extent to which the principle is informed by ethical rigor.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q1} - Fairness

The principle treats all affected parties equally and without bias.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q1} - Generality

The principle is broadly applicable across different contexts.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q1} - Clarity

The wording and intent of the principle are interpretable and unambiguous.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q1} - Feasibility

An AI can feasibly act on the principle in a real-world context.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q1} - Constancy

The principle is designed to be relevant and stable across time.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q1} - Faithfulness

The principle resists being distorted, co-opted, or warped in ways antithetical to its original intent.",1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q2} - I personally agree with this principle.,1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q2} - I believe this principle would be appropriate for governing AI behavior,"2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q2} - Moral Grounding

The extent to which the principle is informed by ethical rigor.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q2} - Fairness

The principle treats all affected parties equally and without bias.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q2} - Generality

The principle is broadly applicable across different contexts.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q2} - Clarity

The wording and intent of the principle are interpretable and unambiguous.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q2} - Feasibility

An AI can feasibly act on the principle in a real-world context.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q2} - Constancy

The principle is designed to be relevant and stable across time.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q2} - Faithfulness

The principle resists being distorted, co-opted, or warped in ways antithetical to its original intent.",1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q3} - I personally agree with this principle.,1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q3} - I believe this principle would be appropriate for governing AI behavior,"2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q3} - Moral Grounding

The extent to which the principle is informed by ethical rigor.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q3} - Fairness

The principle treats all affected parties equally and without bias.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q3} - Generality

The principle is broadly applicable across different contexts.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q3} - Clarity

The wording and intent of the principle are interpretable and unambiguous.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q3} - Feasibility

An AI can feasibly act on the principle in a real-world context.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q3} - Constancy

The principle is designed to be relevant and stable across time.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q3} - Faithfulness

The principle resists being distorted, co-opted, or warped in ways antithetical to its original intent.",1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q4} - I personally agree with this principle.,1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q4} - I believe this principle would be appropriate for governing AI behavior,"2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q4} - Moral Grounding

The extent to which the principle is informed by ethical rigor.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q4} - Fairness

The principle treats all affected parties equally and without bias.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q4} - Generality

The principle is broadly applicable across different contexts.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q4} - Clarity

The wording and intent of the principle are interpretable and unambiguous.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q4} - Feasibility

An AI can feasibly act on the principle in a real-world context.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q4} - Constancy

The principle is designed to be relevant and stable across time.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q4} - Faithfulness

The principle resists being distorted, co-opted, or warped in ways antithetical to its original intent.",1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q5} - I personally agree with this principle.,1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q5} - I believe this principle would be appropriate for governing AI behavior,"2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q5} - Moral Grounding

The extent to which the principle is informed by ethical rigor.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q5} - Fairness

The principle treats all affected parties equally and without bias.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q5} - Generality

The principle is broadly applicable across different contexts.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q5} - Clarity

The wording and intent of the principle are interpretable and unambiguous.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q5} - Feasibility

An AI can feasibly act on the principle in a real-world context.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q5} - Constancy

The principle is designed to be relevant and stable across time.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q5} - Faithfulness

The principle resists being distorted, co-opted, or warped in ways antithetical to its original intent.",1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q6} - I personally agree with this principle.,1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - ${e://Field/Q6} - I believe this principle would be appropriate for governing AI behavior,"2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q6} - Moral Grounding

The extent to which the principle is informed by ethical rigor.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q6} - Fairness

The principle treats all affected parties equally and without bias.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q6} - Generality

The principle is broadly applicable across different contexts.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q6} - Clarity

The wording and intent of the principle are interpretable and unambiguous.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q6} - Feasibility

An AI can feasibly act on the principle in a real-world context.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q6} - Constancy

The principle is designed to be relevant and stable across time.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - ${e://Field/Q6} - Faithfulness

The principle resists being distorted, co-opted, or warped in ways antithetical to its original intent.",1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - I personally agree with this principle.,1. Please indicate the extent to which you agree with the following statements about the principle under consideration. - I believe this principle would be appropriate for governing AI behavior,"2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - Moral Grounding

The extent to which the principle is informed by ethical rigor.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - Fairness

The principle treats all affected parties equally and without bias.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - Generality

The principle is broadly applicable across different contexts.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - Clarity

The wording and intent of the principle are interpretable and unambiguous.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - Feasibility

An AI can feasibly act on the principle in a real-world context.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - Constancy

The principle is designed to be relevant and stable across time.","2. Please indicate the extent to which you agree that the principle exhibits the following characteristics, as defined below: - Faithfulness

The principle resists being distorted, co-opted, or warped in ways antithetical to its original intent.",PROLIFIC_PID,Version,Const_Order,Create New Field or Choose From Dropdown...,RESP_P1,RESP_P2,RESP_P3,RESP_P4,RESP_P5,RESP_P6,RESP_P7,RESP_P8,RESP_P9,RESP_P10
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID3""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_7_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID63_7_TEXT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID59_3""}","{""ImportId"":""2_QID7_1""}","{""ImportId"":""2_QID7_2""}","{""ImportId"":""2_QID16_1""}","{""ImportId"":""2_QID16_2""}","{""ImportId"":""2_QID16_3""}","{""ImportId"":""2_QID16_4""}","{""ImportId"":""2_QID16_5""}","{""ImportId"":""2_QID16_6""}","{""ImportId"":""2_QID16_7""}","{""ImportId"":""3_QID7_1""}","{""ImportId"":""3_QID7_2""}","{""ImportId"":""3_QID16_1""}","{""ImportId"":""3_QID16_2""}","{""ImportId"":""3_QID16_3""}","{""ImportId"":""3_QID16_4""}","{""ImportId"":""3_QID16_5""}","{""ImportId"":""3_QID16_6""}","{""ImportId"":""3_QID16_7""}","{""ImportId"":""4_QID7_1""}","{""ImportId"":""4_QID7_2""}","{""ImportId"":""4_QID16_1""}","{""ImportId"":""4_QID16_2""}","{""ImportId"":""4_QID16_3""}","{""ImportId"":""4_QID16_4""}","{""ImportId"":""4_QID16_5""}","{""ImportId"":""4_QID16_6""}","{""ImportId"":""4_QID16_7""}","{""ImportId"":""5_QID7_1""}","{""ImportId"":""5_QID7_2""}","{""ImportId"":""5_QID16_1""}","{""ImportId"":""5_QID16_2""}","{""ImportId"":""5_QID16_3""}","{""ImportId"":""5_QID16_4""}","{""ImportId"":""5_QID16_5""}","{""ImportId"":""5_QID16_6""}","{""ImportId"":""5_QID16_7""}","{""ImportId"":""6_QID7_1""}","{""ImportId"":""6_QID7_2""}","{""ImportId"":""6_QID16_1""}","{""ImportId"":""6_QID16_2""}","{""ImportId"":""6_QID16_3""}","{""ImportId"":""6_QID16_4""}","{""ImportId"":""6_QID16_5""}","{""ImportId"":""6_QID16_6""}","{""ImportId"":""6_QID16_7""}","{""ImportId"":""7_QID7_1""}","{""ImportId"":""7_QID7_2""}","{""ImportId"":""7_QID16_1""}","{""ImportId"":""7_QID16_2""}","{""ImportId"":""7_QID16_3""}","{""ImportId"":""7_QID16_4""}","{""ImportId"":""7_QID16_5""}","{""ImportId"":""7_QID16_6""}","{""ImportId"":""7_QID16_7""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID68_2""}","{""ImportId"":""QID68_3""}","{""ImportId"":""QID68_4""}","{""ImportId"":""QID68_5""}","{""ImportId"":""QID68_6""}","{""ImportId"":""QID68_7""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Version""}","{""ImportId"":""Const_Order""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""RESP_P1""}","{""ImportId"":""RESP_P2""}","{""ImportId"":""RESP_P3""}","{""ImportId"":""RESP_P4""}","{""ImportId"":""RESP_P5""}","{""ImportId"":""RESP_P6""}","{""ImportId"":""RESP_P7""}","{""ImportId"":""RESP_P8""}","{""ImportId"":""RESP_P9""}","{""ImportId"":""RESP_P10""}"
1/4/2026 12:28,1/4/2026 12:29,1,,100,43,1,1/4/2026 12:29,R_5zw18690R0Izmds,,,,,40.0732,-82.4017,preview,EN,1,"1,2",m,3,m,4,m,3,3,3,9,9,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Constitution,B_Ours,,,,,,,,,,,
1/4/2026 12:31,1/4/2026 12:36,0,104.4.13.203,100,271,1,1/4/2026 12:36,R_6MizwGV0dqDCwrv,,,,,35.2338,-97.4095,anonymous,EN,1,"1,2",69436667549a131f7f22b074,,,,,,,,7,4,,6,,10,5,"Constituion A revolves more around high levels of intelligence, factual accuracy, and fewer hallucinations. I use AI to aid me in my field of machine learning, so high intelligence and accuracy is paramount",5,"Constituion A also mentions upholding ethical standards, I think when using AI as a governing source the ethical standards begin to matter much more. B does not mention anything about ethics which is why I choose A",5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69436667549a131f7f22b074,Constitution,A_Ours,,,,,,,,,,,
1/4/2026 12:32,1/4/2026 12:37,0,68.229.213.69,100,286,1,1/4/2026 12:37,R_5qhcj1eXmGDQTFT,,,,,35.5637,-97.6408,anonymous,EN,1,"1,2",65fb580ab7fbb2d518ee8eaa,5,I think B is more thorough. I would trust it more due to the effort put into providing the answer.,1,"Due to the fact that I want direct answers on this topic, A would be more desirable. ",3,2,4,10,5,,"1,3,6",,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65fb580ab7fbb2d518ee8eaa,Constitution,B_Ours,,,,,,,,,,,
1/4/2026 12:30,1/4/2026 12:37,0,68.114.70.102,100,417,1,1/4/2026 12:37,R_32Ly1Ul0cgm5kvl,,,,,44.6913,-73.4648,anonymous,EN,1,"1,2",615e4e76151c3bb90b6bd868,,,,,,,,10,4,,6,,7,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,4,4,5,5,5,5,5,5,5,3,3,5,5,4,4,5,5,5,4,4,5,5,5,5,5,4,4,3,3,4,3,2,3,2,1,1,1,1,1,1,1,1,1,615e4e76151c3bb90b6bd868,Principle,,,P11,P15,P08,P06,P05,P17,,,,
1/4/2026 12:32,1/4/2026 12:38,0,47.158.99.87,100,327,1,1/4/2026 12:38,R_51hlM7K9vck2com,,,,,33.7209,-116.2172,anonymous,EN,1,"1,2",694587bf33d102941b804de3,,,,,,,,11,5,,6,,8,2,I like option B because it is more to the point.  The objectives are short and easy to understand.,4,I prefer option A for the population.  I like how it addresses that it will not provide false or harmful information to anyone.,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694587bf33d102941b804de3,Constitution,A_Ours,,,,,,,,,,,
1/4/2026 12:34,1/4/2026 12:38,0,152.86.224.28,100,235,1,1/4/2026 12:38,R_3JKp7qoqYgi4ZIM,,,,,36.4278,-89.0653,anonymous,EN,1,"1,2",67203bff74dea717e8b9e1ea,,,,,,,,9,4,,6,,10,,,,,,,,2,2,2,3,3,3,3,3,2,5,5,4,5,5,5,4,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,5,4,3,4,4,5,5,4,5,4,4,4,4,4,2,2,4,4,4,3,4,5,4,1,1,1,1,1,1,1,1,1,67203bff74dea717e8b9e1ea,Principle,,,P12,P03,P05,P15,P01,P16,,,,
1/4/2026 12:30,1/4/2026 12:43,0,24.44.210.159,100,757,1,1/4/2026 12:43,R_1kOyRZIVSpFmDdN,,,,,40.9817,-74.1101,anonymous,EN,1,"1,2",62cd9b920ed1b7c1648818d3,,,,,,,,12,5,,6,,13,,,,,,,,4,4,5,5,4,2,4,4,2,4,5,4,4,4,2,4,4,3,4,4,4,5,5,2,4,5,2,5,4,5,5,5,2,4,4,2,4,2,4,4,4,2,4,4,2,4,4,5,5,4,2,4,4,2,1,1,1,1,1,1,1,1,1,62cd9b920ed1b7c1648818d3,Principle,,,P12,P01,P11,P15,P05,P08,,,,
1/4/2026 12:32,1/4/2026 12:45,0,73.8.207.168,100,778,1,1/4/2026 12:45,R_6RyevjAF3JobiYQ,,,,,41.8486,-87.6288,anonymous,EN,1,"1,2",665b7b047373d8da553237a6,,,,,,,,8,4,,2,,10,,,,,,,,5,5,5,5,4,5,4,5,5,4,4,4,3,4,5,5,4,4,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,4,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,1,1,1,1,1,1,1,1,1,665b7b047373d8da553237a6,Principle,,,P10,P11,P09,P04,P19,P18,,,,
